,Unnamed: 0,Name,Style,StyleID,ABV,IBU,Color,Simple_style,Style_color,Style_ibu
1761,2471,Blue Moon (Clone),American Light Lager,9,4.78,8.0,3.94,Pale Lager/Blonde Ale,1,1
6426,9524,Supercharged citrus and cascade 11.11.17 (#1...,American IPA,7,6.44,37.92,7.39,Pale Ale,2,5
12000,18511,Highlands Bog,Russian Imperial Stout,132,8.17,64.77,49.94,Stout/Porter,5,4
18004,28090,Pacific Pale Ale,American Pale Ale,10,5.41,38.11,10.13,Pale Ale,2,5
4060,5863,Cascade Single Hop IPA,American IPA,7,7.15,70.36,10.75,Pale Ale,2,5
13041,20144,Kentucky Breakfast Stout,Imperial Stout,87,9.72,64.25,50.0,Stout/Porter,5,4
41272,65959,05B - Kölsch,Kölsch,94,5.04,27.93,3.59,Pale Lager/Blonde Ale,1,1
37107,59167,Open Saison,Saison,134,5.56,42.26,6.15,Pale Ale,2,5
21916,34511,Brittingham Brown Ale,American Brown Ale,6,5.03,39.26,19.29,Brown Ale,4,2
18965,29656,Harvest Ale,American IPA,7,6.61,65.79,5.0,Pale Ale,2,5
41664,66628,Bishops Digit,Best Bitter,28,5.17,30.0,10.98,Pale Ale,2,5
23066,36436,Blood Orange Saison,Saison,134,5.72,30.0,10.85,Pale Ale,2,5
32014,51033,Black widow Extra Stout,Foreign Extra Stout,72,6.64,39.06,35.0,Stout/Porter,5,4
38668,61708,Runes ale,Belgian Pale Ale,24,3.31,80.68,15.0,Pale Ale,2,5
28895,45901,New American Pilsner,Classic American Pilsner,40,5.2,28.0,3.08,Pale Lager/Blonde Ale,1,1
19568,30646,Wedding Vanilla Milk Stout,Russian Imperial Stout,132,10.04,49.27,50.0,Stout/Porter,5,4
32256,51425,The Chief,Weissbier,169,5.06,12.82,3.37,Wheat,0,0
24422,38625,Chocalate Milk Stout,American Stout,12,4.25,46.65,34.16,Stout/Porter,5,4
39599,63239,Genesis,American IPA,7,6.21,56.77,11.92,Pale Ale,2,5
40425,64604,Ray IPA,American IPA,7,6.9,51.86,7.72,Pale Ale,2,5
19006,29723,Kick Your Heals Up And...,American Stout,12,6.63,35.16,37.8,Stout/Porter,5,4
16235,25213,ToK's Belgian Dark Strong Ale 18l,Belgian Dark Strong Ale,21,10.6,34.34,22.0,Strong Ale,3,3
45879,73654,Cofee brow RF & Sergin,British Brown Ale,34,5.81,32.0,25.98,Brown Ale,4,2
27095,42946,VQH Porter,Brown Porter,37,5.91,24.73,27.91,Stout/Porter,5,4
6726,10015,115: Semper fIPA 2015,American IPA,7,7.77,48.81,5.43,Pale Ale,2,5
44670,71643,Ameli-Ale 2014 | IPeachA,American IPA,7,5.88,46.36,6.7,Pale Ale,2,5
44885,71987,West Coast Pale,American Pale Ale,10,5.31,30.32,8.39,Pale Ale,2,5
25353,40149,The White Headed Redhead,Belgian Blond Ale,20,6.32,26.17,6.0,Pale Lager/Blonde Ale,1,1
22155,34930,Stag Wolf Sheep,Belgian Tripel,26,8.67,36.54,5.0,Pale Ale,2,5
7569,11394,Ovila Quad W/ Plums,Belgian Dark Strong Ale,21,10.01,20.22,22.0,Strong Ale,3,3
43127,69116,Corned Beef Eggroll,Irish Stout,93,4.77,41.55,32.9,Stout/Porter,5,4
3043,4354,PopsBlack (Kostritzer Clone),Schwarzbier,135,5.05,31.82,28.16,Stout/Porter,5,4
18627,29124,BelgianTripel,Belgian Tripel,26,10.43,30.0,8.39,Pale Ale,2,5
41708,66703,Red Hydrant English Brown,British Brown Ale,34,5.4,17.63,15.8,Brown Ale,4,2
20524,32213,Lil whore of the hops,American IPA,7,5.4,54.51,5.0,Pale Ale,2,5
31605,50364,John's Folly 5gal,American Brown Ale,6,5.38,29.72,26.01,Brown Ale,4,2
3296,4739,Coffee ipa,English IPA,65,6.21,50.21,9.04,Pale Ale,2,5
34755,55414,PR01-Cream Ale,Cream Ale,45,5.51,25.37,4.55,Pale Lager/Blonde Ale,1,1
25031,39630,Hunterdon Imperial IPA,Imperial IPA,86,8.88,90.0,14.31,Pale Ale,2,5
4405,6358,Alec's Witbier,Witbier,175,4.71,14.83,3.65,Wheat,0,0
780,1059,Weizen / Weissbier,Weizen/Weissbier,170,5.01,13.37,4.62,Wheat,0,0
36328,57938,Villa B Spruce Ale,American Pale Ale,10,5.78,65.97,5.0,Pale Ale,2,5
12154,18747,Hvete IPA 3,American IPA,7,6.99,69.83,8.9,Pale Ale,2,5
8135,12313,Lys Ale Rud,American IPA,7,7.64,30.0,12.26,Pale Ale,2,5
2987,4267,Summer Breeze Hoppy Wheat,American Wheat or Rye Beer,15,5.07,24.23,4.88,Wheat,0,0
14473,22444,Kölsh,Kölsch,94,5.0,18.93,3.47,Pale Lager/Blonde Ale,1,1
11921,18387,Saison Opener,Saison,134,6.91,31.02,5.57,Pale Ale,2,5
27104,42959,Raspberry Porter,American Porter,11,6.18,39.32,30.78,Stout/Porter,5,4
21227,33338,Bavarian pilsner,German Pilsner (Pils),81,5.66,11.74,5.44,Pale Lager/Blonde Ale,1,1
3186,4572,Citra Brunette,American IPA,7,5.78,51.9,6.57,Pale Ale,2,5
1856,2613,American Barley Wine - Braumeister 20L,American Barleywine,5,11.31,84.69,14.47,Strong Ale,3,3
23885,37746,Christmas In New England,American IPA,7,6.88,67.72,7.98,Pale Ale,2,5
18606,29090,Artemesia Lager (AHB Vienna Lager),Vienna Lager,167,5.07,28.0,6.0,Pale Lager/Blonde Ale,1,1
2588,3679,Hennessy Irish Stout,Dry Stout,58,5.2,41.22,50.0,Stout/Porter,5,4
38879,62051,Canadian Lager 1 - Next to Brew,International Pale Lager,90,3.83,28.0,5.1,Pale Lager/Blonde Ale,1,1
10838,16649,Pau weizen,Weizen/Weissbier,170,5.22,9.9,6.0,Wheat,0,0
12635,19490,Tart Plum Saison,Witbier,175,4.66,15.73,6.0,Wheat,0,0
36955,58917,Parker's Irish Otter 3,Extra Special/Strong Bitter (ESB),68,6.24,50.72,7.9,Pale Ale,2,5
41207,65856,Multysisan,American Light Lager,9,5.67,28.0,6.0,Pale Lager/Blonde Ale,1,1
8561,12981,Modus Hoperandi,American IPA,7,5.48,69.28,14.18,Pale Ale,2,5
19327,30252,Pierries Dipa,American IPA,7,7.3,69.88,12.43,Pale Ale,2,5
44289,71021,GdogFish 90 IIPA,American IPA,7,8.58,77.59,11.54,Pale Ale,2,5
19634,30747,Steve's NZ Wakatu Pale Ale,American Pale Ale,10,5.4,59.88,8.11,Pale Ale,2,5
6601,9821,143 American Ordinary bitter,Standard/Ordinary Bitter,157,4.09,35.39,10.41,Pale Ale,2,5
10727,16452,Happy Birthday To Me!!,Czech Pale Lager,49,5.25,28.0,3.43,Pale Lager/Blonde Ale,1,1
7571,11398,Great Chain of Being (Brett Trois),American IPA,7,7.18,50.36,7.28,Pale Ale,2,5
39242,62646,Hefewiezen,Weissbier,169,4.79,12.37,4.23,Wheat,0,0
31755,50611,Dark Vanilla Coffee,Blonde Ale,30,5.99,21.4,6.0,Pale Lager/Blonde Ale,1,1
